ID;Főváros / megye;Település;Szavazókör;Szavazókör címe;Szélességi fok; Hosszúsági fok
178;BUDAPEST;Budapest III. ker.;86;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
179;BUDAPEST;Budapest III. ker.;87;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
180;BUDAPEST;Budapest III. ker.;88;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
181;BUDAPEST;Budapest III. ker.;89;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
182;BUDAPEST;Budapest III. ker.;90;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
183;BUDAPEST;Budapest III. ker.;91;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
184;BUDAPEST;Budapest III. ker.;92;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
185;BUDAPEST;Budapest III. ker.;93;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
186;BUDAPEST;Budapest III. ker.;94;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
187;BUDAPEST;Budapest III. ker.;95;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
188;BUDAPEST;Budapest III. ker.;96;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
189;BUDAPEST;Budapest III. ker.;97;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
190;BUDAPEST;Budapest III. ker.;98;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
191;BUDAPEST;Budapest III. ker.;99;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
192;BUDAPEST;Budapest III. ker.;100;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
193;BUDAPEST;Budapest III. ker.;101;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
194;BUDAPEST;Budapest III. ker.;102;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
195;BUDAPEST;Budapest III. ker.;103;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
196;BUDAPEST;Budapest III. ker.;104;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
197;BUDAPEST;Budapest III. ker.;105;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
198;BUDAPEST;Budapest III. ker.;106;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
199;BUDAPEST;Budapest III. ker.;107;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
200;BUDAPEST;Budapest III. ker.;108;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
201;BUDAPEST;Budapest III. ker.;109;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
202;BUDAPEST;Budapest III. ker.;110;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
203;BUDAPEST;Budapest III. ker.;111;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
204;BUDAPEST;Budapest III. ker.;112;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
205;BUDAPEST;Budapest IV. ker.;1;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
206;BUDAPEST;Budapest IV. ker.;2;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
207;BUDAPEST;Budapest IV. ker.;3;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
208;BUDAPEST;Budapest IV. ker.;4;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
209;BUDAPEST;Budapest IV. ker.;5;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
210;BUDAPEST;Budapest IV. ker.;6;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
211;BUDAPEST;Budapest IV. ker.;7;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
212;BUDAPEST;Budapest IV. ker.;8;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
213;BUDAPEST;Budapest IV. ker.;9;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
214;BUDAPEST;Budapest IV. ker.;10;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
215;BUDAPEST;Budapest IV. ker.;11;Budapest, Tóth Aladár u. 16-18, 1048 Hungary;47,58276;19,108018
216;BUDAPEST;Budapest IV. ker.;12;Budapest, Tóth Aladár u. 16-18, 1048 Hungary;47,58276;19,108018
217;BUDAPEST;Budapest IV. ker.;13;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
218;BUDAPEST;Budapest IV. ker.;14;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
219;BUDAPEST;Budapest IV. ker.;15;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
220;BUDAPEST;Budapest IV. ker.;16;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
221;BUDAPEST;Budapest IV. ker.;17;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
222;BUDAPEST;Budapest IV. ker.;18;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
223;BUDAPEST;Budapest IV. ker.;19;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
224;BUDAPEST;Budapest IV. ker.;20;Budapest, Tóth Aladár u. 16-18, 1048 Hungary;47,58276;19,108018
225;BUDAPEST;Budapest IV. ker.;21;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
226;BUDAPEST;Budapest IV. ker.;22;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
227;BUDAPEST;Budapest IV. ker.;23;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
228;BUDAPEST;Budapest IV. ker.;24;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
229;BUDAPEST;Budapest IV. ker.;25;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
230;BUDAPEST;Budapest IV. ker.;26;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
