választókerület;szavazókör;Fidesz-KDNP;Összefogás;Jobbik;LMP;megjelent;összes választó;Szavazókör címe
k11;sz0272;245;243;80;31;619;959;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
k11;sz0273;214;199;103;43;579;943;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
k11;sz0274;233;210;86;47;601;904;Pozsonyi út 3. (Hallasy Olivér Általános Isk.)
k11;sz0275;208;273;95;39;639;972;Pozsonyi út 3. (Hallasy Olivér Általános Isk.)
k11;sz0276;190;240;56;47;557;911;Pozsonyi út 3. (Hallasy Olivér Általános Isk.)
k11;sz0277;244;201;80;41;596;970;Pozsonyi út 3. (Hallasy Olivér Általános Isk.)
k12;sz0278;259;298;69;40;698;1011;Szigeti József utca 1-3. (Szigeti Általános Isk.)
k12;sz0279;277;267;84;59;717;1000;Szigeti József utca 1-3. (Szigeti Általános Isk.)
k12;sz0280;262;267;103;55;724;1035;Szigeti József utca 1-3. (Szigeti Általános Isk.)
k12;sz0281;188;196;71;64;537;914;Szigeti József utca 1-3. (Szigeti Általános Isk.)
k12;sz0282;250;249;111;63;701;1038;Szigeti József utca 1-3. (Szigeti Általános Isk.)
k12;sz0283;219;316;100;42;697;1053;Szigeti József utca 1-3. (Szigeti Általános Isk.)
k12;sz0284;244;251;89;36;654;1032;Viola utca 2-4. (Egyetem)
k12;sz0285;211;213;102;55;622;1006;Viola utca 2-4. (Egyetem)
k12;sz0286;197;253;84;43;601;987;Viola utca 2-4. (Egyetem)
k12;sz0287;279;182;95;39;620;977;Viola utca 2-4. (Egyetem)
k12;sz0288;216;239;90;31;604;918;Viola utca 2-4. (Egyetem)
k12;sz0289;230;218;110;42;643;1020;Viola utca 2-4. (Egyetem)
k01;sz0290;347;218;36;88;704;978;Fõvám tér 2-3. (B-L.Városüzemeltetõ)
k01;sz0291;302;176;32;55;571;806;Váci u. 43. (Ének-zenei  Ált. Iskola)
k01;sz0292;316;149;41;62;573;781;Magyar u. 12. (Idõsek klubja)
k01;sz0293;360;227;43;92;735;972;Veres Pálné u. 38. (Veres Pálné Gimnázium)
